Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Arrangements Proposed,Total P4P Arrangements Accepted,Total P4P Arrangements Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_154932,Claude_Sonnet_4-Claude_Sonnet_4,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,76,54,0.08461538461538454,130,True,True,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,12,1,0,3,0,3,0
Llama_405B-Llama_405B,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250921_210607,Llama_405B-Llama_405B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,4,0,65,65,0,0,0,0.0,130,False,False,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,8,8,0,3,0,3,0
LLAMA_405B-LLAMA_405B,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260107_145539_573872_e9fbf3dc,LLAMA_405B-LLAMA_405B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,61,79,0.06428571428571428,140,True,True,3,1,2,0,0,0,0,0,4,7,1,3,,0,0,0,0,13,7,0,3,0,3,0
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260107_152841_530810_3bac7b7f,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,10,0,70,70,70,68,2,0.47142857142857153,140,True,False,7,1,6,0,0,0,0,0,4,4,1,5,,0,0,0,0,0,2,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_none,20250919_154422,Claude_Sonnet_4-Claude_Sonnet_4,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
Llama_405B-Llama_405B,0,ctx1_fog00_p4pfalse_contract_none,20250921_210242,Llama_405B-Llama_405B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,0,ctx1_fog00_p4pfalse_contract_none,20251112_153556_667190_fb87bc53,default,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,60,70,0.03846153846153855,130,True,True,10,2,2,0,0,0,0,0,4,5,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,0,ctx1_fog00_p4pfalse_contract_none,20251212_130027_602839_6cb2c527,default,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,7,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,0,ctx1_fog00_p4pfalse_contract_none,20251212_154249_376938_5e6aa75e,default,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,0,ctx1_fog00_p4pfalse_contract_none,20251212_155141_564640_e5d7035b,default,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
