Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Proposed Player 0,Total Trades Proposed Player 1,Total Trades Accepted,Total Trades Accepted Player 0,Total Trades Accepted Player 1,Total Trades Rejected,Total Trades Rejected Player 0,Total Trades Rejected Player 1,amount_received_by_0_from_trades,amount_received_by_1_from_trades,total_trades_failed,Total P4P Arrangements Proposed,Total P4P Arrangements Proposed Player 0,Total P4P Arrangements Proposed Player 1,Total P4P Arrangements Accepted,Total P4P Arrangements Accepted Player 0,Total P4P Arrangements Accepted Player 1,Total P4P Arrangements Rejected,Total P4P Arrangements Rejected Player 0,Total P4P Arrangements Rejected Player 1,Total P4P Promises Kept,Total P4P Promises Kept Player 0,Total P4P Promises Kept Player 1,Total P4P Promises Broken,Total P4P Promises Broken Player 0,Total P4P Promises Broken Player 1,Total P4P Amounts Promised to Receive,Total P4P Amounts Promised to Receive Player 0,Total P4P Amounts Promised to Receive Player 1,Total P4P Amounts Received,Total P4P Amounts Received Player 0,Total P4P Amounts Received Player 1,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,contract_moves_blocked_by_partner_shortfall_0,contract_moves_blocked_by_partner_shortfall_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_115157_023423_b242215f,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_130307_338139_07d17374,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,5,5,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_115157_022712_2d03ccb9,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_130307_337377_78c3ed32,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_115157_022987_1028d96c,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_130307_337703_48521d4d,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_115157_023839_36ec46a7,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,70,70,140,70,70,0.0,140,True,True,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_130307_338708_82618e85,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_115157_023645_89e8cfb8,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_130307_338345_699e4272,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,3,0,3,0
