Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Arrangements Proposed,Total P4P Arrangements Accepted,Total P4P Arrangements Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260113_221908_013033_b78fc866,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,1,1,0,0,0,0,0,0,4,4,1,3,,0,0,0,0,12,12,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_none_selfish11,20260113_221908_012547_2702b94f,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,45,95,0.1785714285714286,140,True,True,3,1,2,0,0,0,0,0,1,6,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260113_221908_012882_88c7cd5d,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,90,50,0.1428571428571428,140,True,True,3,0,3,0,0,0,0,0,0,0,1,3,8.0,4,4,4,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260113_221908_013608_33ad43d7,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,13,0,70,70,75,75,0,0.5,140,True,False,7,0,7,0,0,0,0,0,0,0,1,4,,0,0,1,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260113_221908_013208_a1e53a0d,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,70,70,140,80,60,0.0714285714285714,140,True,True,0,0,0,5,1,4,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_none_selfish11,20260113_221908_012732_433a744b,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,70,70,140,75,65,0.03571428571428581,140,True,True,0,0,0,1,1,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260113_221908_013120_d582e359,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,70,70,140,55,85,0.1071428571428572,140,True,True,0,0,0,3,2,1,0,0,0,0,1,4,6.0,1,5,1,4,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,0,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260113_221908_013465_b1f562ca,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,8,0,70,70,70,70,0,0.5,140,True,False,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,1,1,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260113_222118_255443_1ac7f9a4,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,75,65,0.03571428571428581,140,True,True,3,1,2,0,0,0,0,0,1,1,1,4,,0,0,0,0,13,8,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,1,ctx1_fog00_p4pfalse_contract_none_selfish11,20260113_222030_748305_a3c7e803,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,6,1,5,0,0,0,0,0,4,4,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
HAIKU_4_5-HAIKU_4_5,1,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260113_222102_798729_53bb3587,HAIKU_4_5-HAIKU_4_5,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,0,0,5,5,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
