Model Pair,Grid ID,Config ID,Run ID,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
GPT_4.1-GPT_4.1,0,ctx1_fog01_p4pfalse_contract_contract_for_finishing,20250921_215313,True,"[False, True]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,2,,0,0,10,10,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog01_p4pfalse_contract_none,20250921_214825,True,"[False, True]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,10,65,65,65,65,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog01_p4pfalse_contract_strict,20250921_214933,True,"[False, True]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,40,90,0.1923076923076923,130,True,True,0,0,0,0,0,0,0,1,2,6.0,1,5,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog01_p4pfalse_contract_tile_with_judge_implementation,20250921_215642,True,"[False, True]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog01_p4ptrue_contract_none,20250921_214633,True,"[False, True]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,65,65,65,65,0,0.5,130,True,False,2,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog10_p4pfalse_contract_contract_for_finishing,20250921_215400,True,"[True, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,65,65,0.0,130,True,True,3,0,3,0,0,0,0,1,2,,0,0,10,10,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog10_p4pfalse_contract_none,20250921_214851,True,"[True, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,3,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog10_p4pfalse_contract_strict,20250921_215054,True,"[True, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,70,60,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,2.0,1,1,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog10_p4pfalse_contract_tile_with_judge_implementation,20250921_215811,True,"[True, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,70,60,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,3,0,3,0
GPT_4.1-GPT_4.1,0,ctx1_fog10_p4ptrue_contract_none,20250921_214704,True,"[True, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,3,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
