Model Pair,Grid ID,Config ID,Run ID,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_154932,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,76,54,0.08461538461538454,130,True,True,0,0,0,0,0,0,0,1,5,,0,0,12,1,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_none,20250919_154422,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_strict,20250919_154541,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_155305,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,0,ctx1_fog00_p4ptrue_contract_none,20250919_154251,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_160121,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,58,72,0.05384615384615388,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,4,11,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,1,ctx1_fog00_p4pfalse_contract_none,20250919_155617,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,1,ctx1_fog00_p4pfalse_contract_strict,20250919_155740,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,1,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_160419,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,1,ctx1_fog00_p4ptrue_contract_none,20250919_155452,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,2,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_161214,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,62,68,0.023076923076922995,130,True,True,0,0,0,0,0,0,0,1,3,,0,0,7,10,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,2,ctx1_fog00_p4pfalse_contract_none,20250919_160812,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,2,ctx1_fog00_p4pfalse_contract_strict,20250919_160944,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,50,80,0.11538461538461542,130,True,True,0,0,0,0,0,0,0,1,4,5.0,3,2,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,2,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_161444,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,2,ctx1_fog00_p4ptrue_contract_none,20250919_160643,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,3,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_162303,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,67,63,0.01538461538461533,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,7,5,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,3,ctx1_fog00_p4pfalse_contract_none,20250919_161929,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,3,ctx1_fog00_p4pfalse_contract_strict,20250919_162049,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,4,4.0,2,2,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,3,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_162538,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,3,ctx1_fog00_p4ptrue_contract_none,20250919_161743,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,4,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_163549,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,3,,0,0,6,6,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,4,ctx1_fog00_p4pfalse_contract_none,20250919_163001,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,4,ctx1_fog00_p4pfalse_contract_strict,20250919_163122,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,4,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_163847,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,4,ctx1_fog00_p4ptrue_contract_none,20250919_162835,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,5,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_164546,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,65,65,130,62,68,0.023076923076922995,130,True,True,0,0,0,0,0,0,0,1,3,,0,0,4,7,0,3,0,3,0
Claude_Sonnet_4-Claude_Sonnet_4,5,ctx1_fog00_p4pfalse_contract_none,20250919_164253,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,3,0
