Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Proposed Player 0,Total Trades Proposed Player 1,Total Trades Accepted,Total Trades Accepted Player 0,Total Trades Accepted Player 1,Total Trades Rejected,Total Trades Rejected Player 0,Total Trades Rejected Player 1,amount_received_by_0_from_trades,amount_received_by_1_from_trades,total_trades_failed,Total P4P Arrangements Proposed,Total P4P Arrangements Proposed Player 0,Total P4P Arrangements Proposed Player 1,Total P4P Arrangements Accepted,Total P4P Arrangements Accepted Player 0,Total P4P Arrangements Accepted Player 1,Total P4P Arrangements Rejected,Total P4P Arrangements Rejected Player 0,Total P4P Arrangements Rejected Player 1,Total P4P Promises Kept,Total P4P Promises Kept Player 0,Total P4P Promises Kept Player 1,Total P4P Promises Broken,Total P4P Promises Broken Player 0,Total P4P Promises Broken Player 1,Total P4P Amounts Promised to Receive,Total P4P Amounts Promised to Receive Player 0,Total P4P Amounts Promised to Receive Player 1,Total P4P Amounts Received,Total P4P Amounts Received Player 0,Total P4P Amounts Received Player 1,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,contract_moves_blocked_by_partner_shortfall_0,contract_moves_blocked_by_partner_shortfall_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260107_152841_530810_3bac7b7f,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,10,0,70,70,70,68,2,0.47142857142857153,140,True,False,7,0,0,1,0,0,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,0,2,0,3,0,3,0
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260107_152841_528771_10e5f35c,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,8,0,70,70,140,95,45,0.1785714285714286,140,True,True,11,0,0,2,0,0,9,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4.0,3,1,3,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260107_152841_531611_7685b40f,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,9,0,70,70,140,68,72,0.014285714285714235,140,True,True,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,5,7,0,3,0,3,0
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4ptrue_contract_none_selfish11,20260107_152841_527318_c9b6e9fc,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,70,70,140,80,60,0.0714285714285714,140,True,True,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,0,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260107_152841_534636_7057bbdf,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,5,0,70,70,0,0,0,0.0,140,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260107_152841_551864_2f05522e,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,65,75,0.03571428571428581,140,True,True,6,0,0,2,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,10,5,0,3,0,3,0
LLAMA_70B-LLAMA_70B,1,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260107_152841_540857_6e708822,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,50,90,0.1428571428571428,140,True,True,3,0,0,2,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12.0,8,4,4,2,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,1,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260107_152841_565597_fef34aef,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,7,0,70,70,140,65,75,0.03571428571428581,140,True,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,1,2,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,1,ctx1_fog00_p4ptrue_contract_none_selfish11,20260107_152841_537232_551d252a,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,1,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260107_152841_575573_e364b02c,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,10,0,70,70,75,75,0,0.5,140,True,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,1,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,2,ctx1_fog00_p4pfalse_contract_none_selfish11,20260107_152841_574925_41a70acb,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,65,75,0.03571428571428581,140,True,True,5,0,0,2,0,0,3,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,2,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260107_152841_585422_8282cba0,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,7,0,70,70,140,60,80,0.0714285714285714,140,True,True,5,0,0,2,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,2,5,1,2,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,2,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260107_163801_690966_ebd388c7,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,10,0,70,70,55,0,55,0.5,140,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,3,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,2,ctx1_fog00_p4ptrue_contract_none_selfish11,20260107_152841_575327_c90d5cb6,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,7,0,70,70,140,60,80,0.0714285714285714,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,3,ctx1_fog00_p4pfalse_contract_none_selfish11,20260107_180150_556384_552382d3,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,8,0,70,70,130,70,60,0.03846153846153855,140,True,True,5,0,0,2,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,3,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260107_181355_448691_2cf67c9d,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,7,0,70,70,0,0,0,0.0,140,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,2,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,4,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260107_181627_523228_31370054,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,7,0,70,70,140,60,80,0.0714285714285714,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,1,3,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,4,ctx1_fog00_p4ptrue_contract_none_selfish11,20260107_181433_515339_b6fc7a62,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_70B-LLAMA_70B,4,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260107_181706_083860_9a3fd72f,LLAMA_70B-LLAMA_70B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,8,0,70,70,130,75,55,0.07692307692307687,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,1,0,0,0,0,0,0,3,0,3,0
