Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Arrangements Proposed,Total P4P Arrangements Accepted,Total P4P Arrangements Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260111_173005_941757_1975ba5d,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,60,80,0.0714285714285714,140,True,True,2,2,0,0,0,0,0,0,3,5,1,2,,0,0,0,0,10,10,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4pfalse_contract_none_selfish11,20260111_173005_941532_071e9ba4,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,65,75,0.03571428571428581,140,True,True,3,2,1,0,0,0,0,0,5,6,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260113_120300_076539_39485f9c,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,75,65,0.03571428571428581,140,True,True,1,1,0,0,0,0,0,0,2,2,1,3,5.0,3,2,3,2,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260111_173347_764785_390c254f,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,70,70,140,70,70,0.0,140,True,True,3,0,3,0,0,0,0,0,0,0,1,4,,0,0,1,1,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260111_173319_736541_4b99e48e,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,70,70,140,71,69,0.0071428571428571175,140,True,True,0,0,0,3,1,2,1,0,0,0,1,5,,0,0,0,0,14,8,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4ptrue_contract_none_selfish11,20260111_173005_941333_962af8b9,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,70,70,140,85,55,0.1071428571428572,140,True,True,0,0,0,3,1,2,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260113_120300_076656_3d19aaf8,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,2,2,0,0,0,0,0,1,3,2.0,1,1,1,1,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,0,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260111_173419_442040_1db975ae,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,6,0,70,70,140,65,75,0.03571428571428581,140,True,True,0,0,0,2,1,1,3,0,0,0,1,2,,0,0,0,2,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260111_173851_169665_a3e7609f,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,0,0,4,4,1,3,,0,0,0,0,0,0,0,3,0,3,0
SONNET_4_5-SONNET_4_5,1,ctx1_fog00_p4pfalse_contract_none_selfish11,20260111_173525_441021_16d0f8df,SONNET_4_5-SONNET_4_5,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,55,85,0.1071428571428572,140,True,True,4,2,2,0,0,0,0,0,2,5,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
