Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Arrangements Proposed,Total P4P Arrangements Accepted,Total P4P Arrangements Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
DeepSeek_R1-DeepSeek_R1,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_212450,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,10,0,65,65,65,59,6,0.4076923076923078,130,True,False,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,6,6,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,1,ctx1_fog00_p4pfalse_contract_none,20250919_211915,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,1,ctx1_fog00_p4pfalse_contract_strict,20250919_212033,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,7,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,1,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_213538,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,7,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,1,ctx1_fog00_p4ptrue_contract_none,20250919_211453,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,12,0,65,65,65,0,65,0.5,130,False,True,3,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,2,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_214552,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,5,5,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,2,ctx1_fog00_p4pfalse_contract_none,20250919_214136,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,8,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,2,ctx1_fog00_p4pfalse_contract_strict,20250919_214250,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,8,0,65,65,130,55,75,0.07692307692307687,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,8.0,5,3,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,2,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_214851,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,12,0,65,65,70,70,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,2,ctx1_fog00_p4ptrue_contract_none,20250919_213928,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,3,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_220106,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,3,ctx1_fog00_p4pfalse_contract_none,20250919_215347,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,7,0,65,65,130,65,65,0.0,130,True,True,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,3,ctx1_fog00_p4pfalse_contract_strict,20250919_215507,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,8,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,3,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_220415,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,3,ctx1_fog00_p4ptrue_contract_none,20250919_215231,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,7,0,65,65,130,65,65,0.0,130,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,4,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_221512,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,9,0,65,65,65,63,2,0.46923076923076934,130,True,False,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,2,2,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,4,ctx1_fog00_p4pfalse_contract_none,20250919_220845,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,9,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,4,ctx1_fog00_p4pfalse_contract_strict,20250919_221042,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,3.0,2,1,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,4,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_221920,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,8,0,65,65,70,70,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,4,ctx1_fog00_p4ptrue_contract_none,20250919_220612,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,10,0,65,65,120,55,65,0.04166666666666674,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,5,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_222854,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,7,0,65,65,130,80,50,0.11538461538461542,130,True,True,1,1,0,0,0,0,0,0,4,1,1,2,,0,0,0,0,10,10,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,5,ctx1_fog00_p4pfalse_contract_none,20250919_222405,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,8,0,65,65,65,65,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,5,ctx1_fog00_p4pfalse_contract_strict,20250919_222542,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,8,0,65,65,65,65,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,5,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_223252,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,5,ctx1_fog00_p4ptrue_contract_none,20250919_222234,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,6,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_224016,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'B'], ['R', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,2,2,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,6,ctx1_fog00_p4pfalse_contract_none,20250919_223606,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'B'], ['R', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,6,ctx1_fog00_p4pfalse_contract_strict,20250919_223707,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'B'], ['R', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,2.0,1,1,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,6,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_224317,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'B'], ['R', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,6,ctx1_fog00_p4ptrue_contract_none,20250919_223415,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'R', 'B'], ['R', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,65,65,65,65,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,7,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_224923,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['R', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,7,ctx1_fog00_p4pfalse_contract_none,20250919_224552,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['R', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,8,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,7,ctx1_fog00_p4pfalse_contract_strict,20250919_224709,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['R', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,9.0,4,5,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,7,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_225259,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['R', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,7,ctx1_fog00_p4ptrue_contract_none,20250919_224439,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['R', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,65,65,65,65,0,0.5,130,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,8,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_225919,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'R'], ['R', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,8,0,65,65,65,12,53,0.3153846153846154,130,False,True,1,0,1,0,0,0,0,0,0,0,1,2,,0,0,0,0,12,12,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,8,ctx1_fog00_p4pfalse_contract_none,20250919_225551,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'R'], ['R', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,0,0,0,0.0,130,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,8,ctx1_fog00_p4pfalse_contract_strict,20250919_225704,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'R'], ['R', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,8,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,1,2,6.0,5,1,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,8,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_230127,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'R'], ['R', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,5,0,65,65,0,0,0,0.0,130,False,False,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,8,ctx1_fog00_p4ptrue_contract_none,20250919_225431,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'B', 'B', 'R'], ['R', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,5,0,65,65,0,0,0,0.0,130,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,9,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_230819,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'R', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,5,5,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,9,ctx1_fog00_p4pfalse_contract_none,20250919_230423,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'R', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,7,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,9,ctx1_fog00_p4pfalse_contract_strict,20250919_230508,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'R', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,9,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_231154,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'R', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,8,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,9,ctx1_fog00_p4ptrue_contract_none,20250919_230257,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['B', 'R', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,10,0,65,65,65,0,65,0.5,130,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,10,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250919_232448,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,8,0,65,65,70,67,3,0.4571428571428571,130,True,False,1,1,0,0,0,0,0,0,2,1,1,1,,0,0,0,0,3,3,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,10,ctx1_fog00_p4pfalse_contract_none,20250919_232035,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,10,ctx1_fog00_p4pfalse_contract_strict,20250919_232108,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,5.0,1,4,0,0,0,0,0,3,0,3,0
DeepSeek_R1-DeepSeek_R1,10,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250919_232948,DeepSeek_R1-DeepSeek_R1,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,65,65,130,65,65,0.0,130,True,True,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,3,0,3,0
