Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Arrangements Proposed,Total P4P Arrangements Accepted,Total P4P Arrangements Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
SONNET_4-SONNET_4,104,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20251217_161555_936216_c199f7f4,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,contract_for_finishing,8,0,70,0,140,92,48,0.15714285714285725,140,True,True,6,1,1,0,0,0,0,0,5,1,1,5,,0,0,0,0,7,5,1,3,0,3,1
SONNET_4-SONNET_4,104,ctx1_fog00_p4pfalse_contract_none,20251217_161555_935964_f06e59f9,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,,8,0,70,0,70,70,0,0.5,140,True,False,7,0,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,0,3,1
SONNET_4-SONNET_4,104,ctx1_fog00_p4pfalse_contract_strict,20251217_161555_936099_4e2aec28,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'R'], ['R', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,strict,6,0,70,0,140,75,65,0.03571428571428581,140,True,True,1,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1,3,0,3,1
SONNET_4-SONNET_4,105,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20251217_161555_936476_b45d9472,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'B', 'R', 'R'], ['B', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,contract_for_finishing,8,0,70,0,70,64,6,0.41428571428571437,140,True,False,8,0,3,0,0,0,0,0,0,0,1,4,,0,0,0,0,9,6,1,3,0,3,1
SONNET_4-SONNET_4,105,ctx1_fog00_p4pfalse_contract_none,20251217_161555_936301_3226c7d6,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'B', 'R', 'R'], ['B', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,,8,0,70,0,70,70,0,0.5,140,True,False,7,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,0,3,1
SONNET_4-SONNET_4,105,ctx1_fog00_p4pfalse_contract_strict,20251217_161555_936394_d0bac1e7,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'B', 'R', 'R'], ['B', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,strict,8,0,70,0,80,80,0,0.5,140,True,False,8,0,4,0,0,0,0,0,0,0,1,4,3.0,2,1,2,0,0,0,1,3,0,3,1
SONNET_4-SONNET_4,106,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20251217_161555_937040_b4b2065d,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'B', 'R', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,contract_for_finishing,8,0,70,0,70,63,7,0.3999999999999999,140,True,False,6,0,1,0,0,0,0,0,0,0,1,4,,0,0,0,0,8,7,1,3,0,3,1
SONNET_4-SONNET_4,106,ctx1_fog00_p4pfalse_contract_none,20251217_161555_936657_f24e02d4,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'B', 'R', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,,8,0,70,0,140,75,65,0.03571428571428581,140,True,True,5,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1,3,0,3,1
SONNET_4-SONNET_4,106,ctx1_fog00_p4pfalse_contract_strict,20251217_161555_936852_e3772a08,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'B', 'R', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,strict,6,0,70,0,140,80,60,0.0714285714285714,140,True,True,1,0,0,0,0,0,0,0,0,0,1,3,6.0,4,2,4,2,0,0,1,3,0,3,1
SONNET_4-SONNET_4,107,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20251217_161555_937557_e44eef54,SONNET_4-SONNET_4,True,"[False, False]","[['G', 'R', 'R', 'R'], ['B', 'B', 'R', 'R'], ['B', 'B', 'R', 'B'], ['B', 'B', 'R', 'G']]",Needy Player (Blue),NP-Blue (Need=1),False,contract_for_finishing,8,0,70,0,70,67,3,0.4571428571428571,140,True,False,6,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,11,3,1,3,0,3,1
