Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Proposed Player 0,Total Trades Proposed Player 1,Total Trades Accepted,Total Trades Accepted Player 0,Total Trades Accepted Player 1,Total Trades Rejected,Total Trades Rejected Player 0,Total Trades Rejected Player 1,amount_received_by_0_from_trades,amount_received_by_1_from_trades,total_trades_failed,Total P4P Arrangements Proposed,Total P4P Arrangements Proposed Player 0,Total P4P Arrangements Proposed Player 1,Total P4P Arrangements Accepted,Total P4P Arrangements Accepted Player 0,Total P4P Arrangements Accepted Player 1,Total P4P Arrangements Rejected,Total P4P Arrangements Rejected Player 0,Total P4P Arrangements Rejected Player 1,Total P4P Promises Kept,Total P4P Promises Kept Player 0,Total P4P Promises Kept Player 1,Total P4P Promises Broken,Total P4P Promises Broken Player 0,Total P4P Promises Broken Player 1,Total P4P Amounts Promised to Receive,Total P4P Amounts Promised to Receive Player 0,Total P4P Amounts Promised to Receive Player 1,Total P4P Amounts Received,Total P4P Amounts Received Player 0,Total P4P Amounts Received Player 1,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,contract_moves_blocked_by_partner_shortfall_0,contract_moves_blocked_by_partner_shortfall_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_114954_271301_0640c243,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,7,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_114954_270674_4055ab59,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,9,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_114954_270987_8dc89dd3,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_114954_271493_25bf0b22,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,8,0,70,70,70,70,0,0.5,140,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_114954_271676_f2c3935c,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,70,70,140,85,55,0.1071428571428572,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,20,5,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_114954_270917_ae10ebc2,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,12,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_195641_996837_24865896,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,70,70,140,65,75,0.03571428571428581,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,5,1,0,1,5,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,0,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_114954_272129_358ea91c,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'R', 'R'], ['B', 'B', 'B', 'R'], ['R', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,7,0,70,70,140,90,50,0.1428571428571428,140,True,True,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,4,0,0,5,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,1,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_195641_997415_b8fd8bbb,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,1,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_121120_740691_41d0117b,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
QWEN_3_30B-QWEN_3_30B,1,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_195641_997084_1c86efb1,QWEN_3_30B-QWEN_3_30B,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,3,0,3,0
