environment,grid_id,contract_type,total_scores,total_accuracy,gini_coefficient,max_possible_score,total_trades_proposed,total_trades_proposed_0,total_trades_proposed_1,total_trades_accepted,total_trades_accepted_0,total_trades_accepted_1,total_trades_rejected,total_trades_rejected_0,total_trades_rejected_1,amount_received_by_0_from_trades,amount_received_by_1_from_trades,total_trades_failed,total_p4p_arrangements_proposed,total_p4p_arrangements_proposed_0,total_p4p_arrangements_proposed_1,total_p4p_arrangements_accepted,total_p4p_arrangements_accepted_0,total_p4p_arrangements_accepted_1,total_p4p_arrangements_rejected,total_p4p_arrangements_rejected_0,total_p4p_arrangements_rejected_1,total_p4p_promises_kept,total_p4p_promises_kept_0,total_p4p_promises_kept_1,total_p4p_promises_broken,total_p4p_promises_broken_0,total_p4p_promises_broken_1,total_p4p_amounts_promised_to_receive,total_p4p_amounts_promised_to_receive_0,total_p4p_amounts_promised_to_receive_1,total_p4p_amounts_received,total_p4p_amounts_received_0,total_p4p_amounts_received_1,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,moves_made_under_strict_contract_0,moves_made_under_strict_contract_1,contract_moves_blocked_by_partner_shortfall_0,contract_moves_blocked_by_partner_shortfall_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,format_errors_total,format_errors_by_type,format_errors_by_player,format_errors_by_turn
needy,grid_110,strict contract,140.0,1.0,0.03571428571428581,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_110,judge implementation,70.0,0.5,0.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_110,contract for finishing,70.0,0.5,0.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_107,strict contract,70.0,0.5,0.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_107,judge implementation,140.0,1.0,0.1071428571428572,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_107,contract for finishing,70.0,0.5,0.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,{},{},{}
needy,grid_141,strict contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needy,grid_141,strict contract,140.0,1.0,0.0714285714285714,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_141,judge implementation,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{}
needy,grid_141,judge implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needy,grid_141,contract for finishing,70.0,0.5,0.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,{},{},{}
needy,grid_141,contract for finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
